date,open,high,low,close,volume,dividend,ratio
2018-11-30,117.7281,119.4238,111.745,113.1714,2020748396.0,0.0,1
2018-12-03,116.3788,116.6191,107.4157,108.925,1772756193.0,0.0,1
2018-12-04,108.8032,113.1429,107.4027,110.2142,1748116495.0,0.0,1
2018-12-05,110.3355,110.5986,102.4756,102.4756,1990157607.0,0.0,1
2018-12-06,102.4506,104.1035,91.7611,91.7611,2310716932.0,0.0,1
2018-12-07,91.6498,96.0898,83.4697,93.2946,2554304530.0,0.0,1
2018-12-10,94.9922,96.2573,90.6543,91.6857,1756437577.0,0.0,1
2018-12-11,91.5789,92.7823,87.6884,88.9453,1707497898.0,0.0,1
2018-12-12,88.6107,92.2406,88.2636,90.5933,1533050103.0,0.0,1
2018-12-13,90.6552,91.1116,85.5183,86.5393,1754475622.0,0.0,1
2018-12-14,86.6304,87.1449,83.2265,84.3083,1651491877.0,0.0,1
2018-12-17,85.3821,96.8051,85.3821,95.1338,2101453024.0,0.0,1
2018-12-18,95.108,101.3202,92.9685,101.1125,2277514076.0,0.0,1
2018-12-19,101.6838,108.5491,100.6915,101.2686,2456482115.0,0.0,1
2018-12-20,101.0904,117.1701,100.64,116.2169,3063842618.0,0.0,1
2018-12-21,115.8354,119.0942,107.5848,109.4962,2632539990.0,0.0,1
2018-12-24,130.6417,157.6687,130.6417,140.238,4370343387.0,0.0,1
2018-12-26,129.8888,136.6772,126.2929,131.8656,2720469126.0,0.0,1
2018-12-27,131.9236,132.6771,115.6501,116.5759,2612804378.0,0.0,1
2018-12-28,116.8982,137.647,115.6931,137.647,3130201009.0,0.0,1
2018-12-31,140.0311,140.1812,132.5194,133.3683,2358360234.0,0.0,1
2019-01-02,141.5195,156.9291,140.651,155.0477,3328240369.0,0.0,1
2019-01-03,155.196,155.8631,147.1984,149.135,2676164880.0,0.0,1
2019-01-04,148.9129,156.879,147.9071,154.5819,3126192535.0,0.0,1
2019-01-07,157.8095,158.4504,151.1507,151.6992,2712108388.0,0.0,1
2019-01-08,151.9675,153.6258,148.6695,150.3596,2459808140.0,0.0,1
2019-01-09,150.5547,153.6223,150.2884,150.8031,2369241197.0,0.0,1
2019-01-10,150.8435,152.1483,126.5294,128.6252,3397734456.0,0.0,1
2019-01-11,127.814,130.1659,125.2449,127.5483,2667585234.0,0.0,1
2019-01-14,116.9791,130.8567,116.9676,129.0687,2798085735.0,0.0,1
2019-01-15,129.1727,130.7436,120.3115,122.0327,2735449164.0,0.0,1
2019-01-16,121.8092,127.1182,121.4414,123.5471,2746469340.0,0.0,1
2019-01-17,123.5735,124.2707,120.817,123.7419,2594091285.0,0.0,1
2019-01-18,123.6547,123.8417,120.2419,121.0103,2305389800.0,0.0,1
2019-01-22,117.1108,119.6643,114.6767,118.7476,2552507405.0,0.0,1
2019-01-23,118.7138,119.4228,116.3766,117.4526,2556952198.0,0.0,1
2019-01-24,117.4628,118.0321,116.0068,117.3629,2520843420.0,0.0,1
2019-01-25,117.595,117.803,115.8302,116.3783,2606881898.0,0.0,1
2019-01-28,113.2852,113.6882,103.3365,106.59,3366895505.0,0.0,1
2019-01-29,106.722,107.1658,103.9992,105.5982,2900418606.0,0.0,1
2019-01-30,105.4072,109.453,104.8438,108.9075,2874370355.0,0.0,1
2019-01-31,108.9008,110.4584,106.5254,107.061,2828796031.0,0.0,1
2019-02-01,107.1477,108.6387,105.0465,107.6098,2541271519.0,0.0,1
2019-02-04,107.6258,108.701,107.0674,107.8216,2491888675.0,0.0,1
2019-02-05,107.6282,108.1348,106.9099,107.4435,2515863999.0,0.0,1
2019-02-06,107.5693,107.5693,102.9346,104.9193,2593048199.0,0.0,1
2019-02-07,104.8358,106.0589,104.4091,104.5353,2326764622.0,0.0,1
2019-02-08,104.6451,119.8058,104.1944,119.2677,3656841347.0,0.0,1
2019-02-11,124.8715,124.8715,120.3118,121.2984,3222473887.0,0.0,1
2019-02-12,121.1786,123.4683,119.6,122.5723,3149576429.0,0.0,1
2019-02-13,122.5443,125.5507,121.6125,122.5536,3386585799.0,0.0,1
2019-02-14,122.417,124.452,121.3349,121.3902,3331701628.0,0.0,1
2019-02-15,121.4537,123.6601,121.3719,122.1004,3021741615.0,0.0,1
2019-02-19,146.3988,149.93,145.1285,145.3462,5310842625.0,0.0,1
2019-02-20,145.1727,149.5543,142.5021,149.5543,4500094965.0,0.0,1
2019-02-21,149.3523,149.3523,144.5638,146.1308,3995766856.0,0.0,1
2019-02-22,146.0733,149.2686,145.2065,149.0925,3731099284.0,0.0,1
2019-02-25,135.4997,142.5256,135.4838,139.8229,4914392068.0,0.0,1
2019-02-26,139.6461,139.9764,136.5796,138.0897,3791292839.0,0.0,1
2019-02-27,138.0296,141.3362,131.6029,136.126,4469776860.0,0.0,1
2019-02-28,136.2831,138.8471,135.6576,136.7462,4535438953.0,0.0,1
2019-03-01,136.8362,138.9953,136.4348,136.4436,3756124824.0,0.0,1
2019-03-04,132.1579,132.7291,125.4027,127.7741,4008171341.0,0.0,1
2019-03-05,127.793,138.23,126.7353,137.8224,4764849990.0,0.0,1
2019-03-06,137.9587,139.9688,136.1459,138.7894,4589054219.0,0.0,1
2019-03-07,138.9424,140.8579,137.2731,138.0345,4339206292.0,0.0,1
2019-03-08,138.3114,139.4991,133.5577,135.1271,4678816794.0,0.0,1
2019-03-11,136.8495,137.3534,133.1028,133.834,4689807419.0,0.0,1
2019-03-12,134.0128,135.2735,130.9442,134.4429,4709988000.0,0.0,1
2019-03-13,134.6118,134.6118,132.7197,133.2631,4265162099.0,0.0,1
2019-03-14,133.2039,135.1808,132.7501,133.7116,4476532147.0,0.0,1
2019-03-15,133.5672,138.3951,133.5672,137.6918,4506861856.0,0.0,1
2019-03-18,140.1049,142.2672,138.8416,139.3746,4551739879.0,0.0,1
2019-03-19,139.254,140.9891,139.143,140.5192,4251488129.0,0.0,1
2019-03-20,140.4847,140.9456,138.307,140.6864,4664134462.0,0.0,1
2019-03-21,140.4785,141.0032,135.8554,136.6361,5087247796.0,0.0,1
2019-03-22,136.5623,138.7943,136.2286,137.1814,4490899266.0,0.0,1
2019-03-25,137.0814,137.6953,133.4902,135.031,4480516753.0,0.0,1
2019-03-26,135.0543,135.4604,133.7573,135.4604,4499271679.0,0.0,1
2019-03-27,135.4544,141.0755,135.3417,140.9882,5228240093.0,0.0,1
2019-03-28,141.0058,141.0079,138.4252,139.4165,4163212475.0,0.0,1
2019-03-29,139.3432,142.5492,138.0451,142.4974,5125602702.0,0.0,1
